eventTime,eventLat,eventLon,eventDepths,eventMag,magUnit,eventDescrp
2013-02-18T12:19:18.460000Z,-30.6582,-177.9564,35.3,5.8,MW,"KERMADEC ISLANDS, NEW ZEALAND"
2013-12-29T15:37:37.110000Z,1.3122,126.204,33.7,5.8,MW,NORTHERN MOLUCCA SEA
2013-04-17T08:57:34.760000Z,34.0355,139.3186,14.6,5.7,MW,"NEAR S. COAST OF HONSHU, JAPAN"
2013-12-01T10:01:31.810000Z,-17.5737,-178.2609,534.8,5.7,MW,FIJI ISLANDS REGION
2013-03-03T03:25:21.740000Z,-7.2344,145.9521,197.9,5.7,MW,"NEAR S COAST OF NEW GUINEA, PNG."
2013-01-08T21:27:00.240000Z,-34.4315,179.1937,35.0,5.7,MW,SOUTH OF KERMADEC ISLANDS
2013-06-24T09:55:45.710000Z,-6.4811,148.5561,34.5,5.7,MW,"NEW BRITAIN REGION, P.N.G."
2013-02-11T20:09:56.080000Z,-11.0911,165.5778,15.8,5.7,MW,SANTA CRUZ ISLANDS
2013-03-10T16:49:20.220000Z,-5.3259,151.5817,63.6,5.7,MW,"NEW BRITAIN REGION, P.N.G."
2013-06-24T08:01:42.790000Z,-6.4859,148.7015,33.1,5.7,MW,"NEW BRITAIN REGION, P.N.G."
2013-05-16T05:57:00.620000Z,-57.5817,-7.0183,10.0,5.7,MW,EAST OF SOUTH SANDWICH ISLANDS
